flag,capital,continent,country_code,name,currency_id
"'🇦🇷'","'Buenos Aires'","'South America'","'+54'","'Argentina'","'b65e74dc-640b-408b-b829-b9d615cfdbd6'"
"'🇨🇱'","'Santiago'","'South America'","'+56'","'Chile'","'69110089-fd2d-4d78-b559-92bfd31a86c9'"
"'🇦🇱'","'Tirana'","'Europe'","'+355'","'Albania'","'13cc63d5-41ec-4b52-887b-e553bd455693'"
"'🇩🇿'","'Algiers'","'Africa'","'+213'","'Algeria'","'66d93c53-26ed-4f17-aef5-ad2bab0d5ed8'"
"'🇸🇻'","'San Salvador'","'North America'","'+503'","'El Salvador'","'c2c973e5-ac64-4ed9-bb03-f75c093fb133'"
"'🇦🇴'","'Luanda'","'Africa'","'+244'","'Angola'","'43340fec-754b-41d1-8554-62002d5b415b'"
"'🇦🇲'","'Yerevan'","'Asia'","'+374'","'Armenia'","'594d9cc0-f362-418d-8786-a746da0cb680'"
"'🇦🇺'","'Canberra'","'Oceania'","'+61'","'Australia'","'59ce1336-75db-4034-8e75-2878beb4bb84'"
"'🇦🇿'","'Baku'","'Asia'","'+994'","'Azerbaijan'","'1ff93a87-a578-48d1-916b-b8594717047e'"
"'🇦🇹'","'Vienna'","'Europe'","'+43'","'Austria'","'a056ddc8-1cf1-4946-bd9a-2cc3dd0bc1ae'"
"'🇧🇭'","'Manama'","'Asia'","'+973'","'Bahrain'","'4d88cb3f-2386-4969-82e9-00c0ab870bf0'"
"'🇧🇩'","'Dhaka'","'Asia'","'+880'","'Bangladesh'","'ab19293c-b335-44cf-9a56-b65599beab06'"
"'🇧🇧'","'Bridgetown'","'North America'","'+1-246'","'Barbados'","'5aac7a28-0ad3-4ace-982d-23ee628e6da9'"
"'🇧🇾'","'Minsk'","'Europe'","'+375'","'Belarus'","'793f9b55-dc06-4a70-92e2-8a858624e617'"
"'🇧🇿'","'Belmopan'","'North America'","'+501'","'Belize'","'07352a97-86ca-4162-8237-5b5b3cf6901c'"
"'🇫🇮'","'Helsinki'","'Europe'","'+358'","'Finland'","'a056ddc8-1cf1-4946-bd9a-2cc3dd0bc1ae'"
"'🇪🇬'","'Cairo'","'Africa'","'+20'","'Egypt'","'6f30bcfa-edbd-495b-9766-101567b04bc2'"
"'🇧🇴'","'Sucre'","'South America'","'+591'","'Bolivia'","'0bc82241-7eee-48b2-b26e-25962c33b243'"
"'🇧🇦'","'Sarajevo'","'Europe'","'+387'","'Bosnia and Herzegovina'","'e1b3aa5a-0a38-457f-bba2-fe9ad35f7db1'"
"'🇧🇼'","'Gaborone'","'Africa'","'+267'","'Botswana'","'cf4e1a09-22ac-477a-9ab7-b9dc9d78b71d'"
"'🇧🇷'","'Brasília'","'South America'","'+55'","'Brazil'","'58d8b88d-44d0-4644-b4a0-a9ec4a3089b7'"
"'🇧🇳'","'Bandar Seri Begawan'","'Asia'","'+673'","'Brunei'","'ee43b1bb-607a-48bf-8b31-bfe1ce2fc2c7'"
"'🇧🇬'","'Sofia'","'Europe'","'+359'","'Bulgaria'","'3ce2f1d9-87dc-4290-8537-6d5e8baaf548'"
"'🇪🇹'","'Addis Ababa'","'Africa'","'+251'","'Ethiopia'","'d28b838c-f61e-40a9-a21c-b58c4689dcd5'"
"'🇲🇲'","'Naypyidaw'","'Asia'","'+95'","'Burma'","'1e03b38b-2437-4a1c-ab9d-c33f6a5e2699'"
"'🇧🇮'","'Gitega'","'Africa'","'+257'","'Burundi'","'0ab6c794-7474-4584-ab40-bfc347d2289a'"
"'🇨🇻'","'Praia'","'Africa'","'+238'","'Cabo Verde'","'3f504902-a50e-4a0d-befc-b72f7b0ba803'"
"'🇨🇦'","'Ottawa'","'North America'","'+1'","'Canada'","'5d004aac-1d90-49b7-9416-decaff8dce05'"
"'🇯🇴'","'Amman'","'Asia'","'+962'","'Jordan'","'98b30a9b-deba-4f43-9499-0591b1313a2f'"
"'🇬🇶'","'Malabo'","'Africa'","'+240'","'Equatorial Guinea'","'5ea1676d-c3cd-4c1b-86d2-b9c4f8586b26'"
"'🇨🇳'","'Beijing'","'Asia'","'+86'","'China'","'463d173a-ba2a-4994-8b1c-28690a16927b'"
"'🇰🇭'","'Phnom Penh'","'Asia'","'+855'","'Cambodia'","'64f8fe9e-3185-4bf6-a28e-3536c9f517d0'"
"'🇨🇴'","'Bogotá'","'South America'","'+57'","'Colombia'","'6466e3c7-d100-4cfb-9242-4f3dd2d60725'"
"'🇰🇲'","'Moroni'","'Africa'","'+269'","'Comoros'","'7c3fbfcf-48fa-4062-a275-16569124bf8d'"
"'🇨🇷'","'San José'","'North America'","'+506'","'Costa Rica'","'312d1f83-be21-40aa-9eb6-298cf4f4cbc6'"
"'🇨🇺'","'Havana'","'North America'","'+53'","'Cuba'","'6af56146-f0c0-41a2-ac44-429438185187'"
"'🇩🇲'","'Roseau'","'North America'","'+1-767'","'Dominica'","'5a51f2a3-1c3c-48d8-8515-c684c246faf1'"
"'🇩🇴'","'Santo Domingo de Guzmán'","'North America'","'+1'","'Dominican Republic'","'c78a6613-48da-496f-a6da-cbcac60f3383'"
"'🇨🇿'","'Prague'","'Europe'","'+420'","'Czechia'","'06f63ea5-3b40-42a6-abd7-63f9db5663f5'"
"'🇬🇹'","'Guatemala City'","'North America'","'+502'","'Guatemala'","'caa15262-bea0-4fa2-86a2-c8ba93e83770'"
"'🇦🇫'","'Kabul'","'Asia'","'+93'","'Afghanistan'","'c9f9f08d-2b58-4530-ae72-7ccd08a10129'"
"'🇩🇰'","'Copenhagen'","'Europe'","'+45'","'Denmark'","'2509a883-1679-468f-8d8a-ef28c02567f5'"
"'🇸🇿'","'Mbabana'","'Africa'","'+268'","'Eswatini'","'3b9c8194-911b-48d1-b0fb-02b0a869c598'"
"'🇭🇺'","'Budapest'","'Europe'","'+36'","'Hungary'","'19b7e1b4-bd61-49bc-a7ce-dc5c4e655521'"
"'🇧🇯'","'Porto-Novo'","'Africa'","'+229'","'Benin (Dahomey)'","'4766d374-829a-486d-b1fe-d3d72b48dcb7'"
"'🇬🇩'","'St. George's'","'North America'","'+1-473'","'Grenada'","'f1f9ca15-5d70-44d4-aa31-41e550a8a3eb'"
"'🇭🇳'","'Tegucigalpa'","'North America'","'+504'","'Honduras'","'432d0dec-aff6-4401-8a6c-6951c099f524'"
"'🇪🇷'","'Asmara'","'Africa'","'+291'","'Eritrea'","'b41cc555-d2f3-46c1-b1ba-e2daced1caac'"
"'🇨🇲'","'Yaoundé'","'Africa'","'+237'","'Cameroon'","'5ea1676d-c3cd-4c1b-86d2-b9c4f8586b26'"
"'🇬🇲'","'Banjul'","'Africa'","'+220'","'Gambia'","'f91edf0e-2dd4-4235-8541-61f2334f105a'"
"'🇨🇫'","'Bangui'","'Africa'","'+236'","'Central African Republic'","'5ea1676d-c3cd-4c1b-86d2-b9c4f8586b26'"
"'🇩🇯'","'Djibouti City'","'Africa'","'+253'","'Djibouti'","'ab887346-ce1e-4ce5-be37-d60672168f4f'"
"'🇬🇾'","'Georgetown'","'South America'","'+592'","'Guyana'","'83b4204b-c0fe-497f-b9f8-fb4d181ca1f0'"
"'🇬🇪'","'Tbilisi'","'Asia'","' +995'","'Georgia'","'68467472-f8b3-43ee-b9e8-0910f38ee815'"
"'🇧🇸'","'Nassau'","'North America'","'+1'","'The Bahamas'","'6c251297-a2cb-456d-884b-8dafbad7aa4c'"
"'🇭🇷'","'Zagreb'","'Europe'","'+385'","'Croatia'","'d40ac607-65eb-40e0-8db6-6d925be345cb'"
"'🇬🇭'","'Accra'","'Africa'","'+233'","'Ghana'","'f53cbbee-0dbb-4598-81ed-a26a146b55e7'"
"'🇮🇳'","'New Delhi'","'Asia'","'+91'","'India'","'d2286762-ed17-46d5-9a62-dcb9a67cd4cb'"
"'🇨🇩'","'Kinshasa'","'Africa'","'+243'","'Democratic Republic of the Congo'","'47d7ba8b-a7a0-48ee-b140-13af2b104b93'"
"'🇬🇳'","'Conakry'","'Africa'","' +224'","'Guinea'","'3d7b50fe-01e4-4c53-a7ba-77f7b9dd82a6'"
"'🇮🇸'","'Reykjavík'","'Europe'","'+354'","'Iceland'","'a79d20ec-bd49-4033-9a9b-e8d169dac971'"
"'🇰🇪'","'Nairobi'","'Africa'","'+254'","'Kenya'","'00f9d6b9-421f-4575-b05a-f9dbd3904d6b'"
"'🇰🇮'","'South Tarawa'","'Oceania'","'+686'","'Kiribati'","'59ce1336-75db-4034-8e75-2878beb4bb84'"
"'🇫🇯'","'Suva'","'Oceania'","'+679'","'Fiji'","'97974c6a-9c1c-4322-b8ba-48144823859a'"
"'🇮🇩'","'Jakarta'","'Asia'","'+62'","'Indonesia'","'bd6ec4c7-4bbf-44f7-a599-ab4cc6c568fd'"
"'🇮🇶'","'Baghdad'","'Asia'","'+964'","'Iraq'","'06db5034-0591-4b48-bf32-054406a34378'"
"'🇮🇷'","'Tehran'","'Asia'","'+98'","'Iran'","'de7e5a14-0749-46c7-b3d8-f6bb50735979'"
"'🇮🇱'","'Jerusalem'","'Asia'","'+972'","'Israel'","'35fc0518-da27-43e4-ac70-39e84296ce8b'"
"'🇯🇵'","'Tokyo'","'Asia'","'+81'","'Japan'","'83228ac4-d4dd-48cf-a06f-e85af3be9cb3'"
"'🇰🇷'","'Pyongyang'","'Asia'","'+850'","'North Korea'","'5ca04694-6004-45db-b882-d798fb757c97'"
"'🇧🇪'","'Brussels'","'Europe'","'+32'","'Belgium'","'a056ddc8-1cf1-4946-bd9a-2cc3dd0bc1ae'"
"'🇽🇰'","'Pristina'","'Europe'","'+383'","'Kosovo'","'a056ddc8-1cf1-4946-bd9a-2cc3dd0bc1ae'"
"'🇵🇪'","'Lima'","'South America'","'+51'","'Peru'","'1b55c49d-02ca-4354-99a5-c4afd2a3cd26'"
"'🇰🇼'","'Kuwait City'","'Asia'","'+965'","'Kuwait'","'d74f01ff-581a-4194-9089-f1fae7bc81cb'"
"'🇰🇬'","'Bishkek'","'Asia'","'+996'","'Kyrgyzstan'","'4d2d6a6a-173b-4a5c-82f0-08e0f539d362'"
"'🇲🇭'","'Majuro'","'Oceania'","'+692'","'Marshall Islands'","'c2c973e5-ac64-4ed9-bb03-f75c093fb133'"
"'🇱🇦'","'Vientiane'","'Asia'","'+856'","'Laos'","'e393e3ed-99f6-49f9-b2f1-98a2e41aacc8'"
"'🇹🇿'","'Dodoma'","'Africa'","'+255'","'Tanzania'","'59b1cc1e-dfda-4d57-903a-5769a451a3d3'"
"'🇱🇾'","'Tripoli'","'Africa'","'+218'","'Libya'","'d9b7d130-c063-4654-a381-d52293bb950d'"
"'🇲🇼'","'Lilongwe'","'Africa'","'+265'","'Malawi'","'ad8b0f60-5312-4ba7-a6ad-93fd0524e8b0'"
"'🇳🇴'","'Oslo'","'Europe'","'+47'","'Norway'","'363faa93-4a17-4501-bb5c-b8e575a46e3f'"
"'🇫🇲'","'Palikir'","'Oceania'","'+691'","'Micronesia'","'c2c973e5-ac64-4ed9-bb03-f75c093fb133'"
"'🇵🇼'","'Ngerulmud'","'Oceania'","'+680'","'Palau'","'c2c973e5-ac64-4ed9-bb03-f75c093fb133'"
"'🇸🇦'","'Riyadh'","'Asia'","'+966'","'Saudi Arabia'","'e8586278-d779-487c-81a5-2766a5942810'"
"'🇳🇬'","'Abuja'","'Africa'","'+234'","'Nigeria'","'8ac91473-2b37-48cb-a870-36117184b9c5'"
"'🇳🇵'","'Kathmandu'","'Asia'","'+977'","'Nepal'","'3a9c9021-6058-483f-8b83-6e0b08236f75'"
"'🇱🇧'","'Beirut'","'Asia'","'+961'","'Lebanon'","'11f1636e-a05e-459c-b853-f0756b6fd38a'"
"'🇵🇾'","'Asunción'","'South America'","'+595'","'Paraguay'","'5b19ba7c-a6b1-492e-b0f6-9864c912f558'"
"'🇵🇦'","'Panama City'","'North America'","'+507'","'Panama'","'21f3cc44-71a5-4c6f-9efc-087acad23c81'"
"'🇹🇴'","'Nukuʻalofa'","'Oceania'","'+676'","'Tonga'","'990af53e-018a-4496-b72b-4ba7bd9b32c2'"
"'🇰🇳'","'Basseterre'","'North America'","'+1-869'","'Saint Kitts and Nevis'","'f1f9ca15-5d70-44d4-aa31-41e550a8a3eb'"
"'🇳🇦'","'Windhoek'","'Africa'","'+264'","'Namibia'","'17df63d8-7c3c-4d0a-9a2c-2a4da7ba0bbc'"
"'🇸🇸'","'Juba'","'Africa'","'+211'","'South Sudan'","'d8e6287d-0024-49bb-9a36-6b1979896220'"
"'🇸🇧'","'Honiara'","'Oceania'","'+677'","'The Solomon Islands'","'382f1437-5750-49c6-952b-ed80300342e1'"
"'🇲🇩'","'Chișinău'","'Europe'","'+373'","'Moldova'","'397d354e-4613-4d32-b0ca-c6536188338d'"
"'🇰🇷'","'Seoul'","'Asia'","'+82'","'South Korea'","'7c8d018f-aaf8-4b8b-b49c-806421133b1f'"
"'🇳🇮'","'Managua'","'North America'","'+505'","'Nicaragua'","'5c73c1f5-f3da-47ab-8d4b-dfe90fc83f48'"
"'🇱🇨'","'Castries'","'North America'","'+1-758'","'Saint Lucia'","'5a51f2a3-1c3c-48d8-8515-c684c246faf1'"
"'🇷🇸'","'Belgrade'","'Europe'","'+381'","'Serbia'","'32a379ad-4209-4cd1-8edd-4fc2b32f4484'"
"'🇸🇷'","'Paramaribo'","'South America'","'+597'","'Suriname'","'c5f3faa3-ae13-4435-a8b4-d836110a787d'"
"'🇻🇨'","'Kingstown'","'North America'","'+1-784'","'Saint Vincent and the Grenadines'","'f1f9ca15-5d70-44d4-aa31-41e550a8a3eb'"
"'🇴🇲'","'Muscat'","'Asia'","'+968'","'Oman'","'206b66de-f48a-4907-a552-ec2d1c223074'"
"'🇲🇺'","'Port Louis'","'Africa'","'+230'","'Mauritius'","'7b4b3b3b-2217-4af5-9508-24dbc5eb6f1f'"
"'🇱🇮'","'Vaduz'","'Europe'","'+423'","'Liechtenstein'","'b2a1075d-252a-4cc4-973f-566d85e5b9c8'"
"'🇲🇻'","'Malé'","'Asia'","'+960'","'Maldives'","'8229a8b9-a05a-42d6-a6cd-8b401dcd0ed5'"
"'🇲🇦'","'Rabat'","'Africa'","'+212'","'Morocco'","'2de491a5-1981-40b2-a396-88ddcff587cb'"
"'🇲🇿'","'Maputo'","'Africa'","'+258'","'Mozambique'","'7afe2e20-d7e6-46e4-995b-289c996983ce'"
"'🇷🇴'","'Bucharest'","'Europe'","'+40'","'Romania'","'59fb4c24-2994-4782-a1f1-f246b9802c8c'"
"'🇳🇿'","'Wellington'","'Oceania'","'+64'","'New Zealand'","'8735c75c-6ce7-4846-8f06-223d67ffbb66'"
"'🇸🇪'","'Stockholm'","'Europe'","'+46'","'Sweden'","'03e68842-1f2c-4162-9637-ce5fc0a1996f'"
"'🇨🇭'","'Bern'","'Europe'","'+41'","'Switzerland'","'b2a1075d-252a-4cc4-973f-566d85e5b9c8'"
"'🇲🇰'","'Skopje'","'Europe'","'+389'","'North Macedonia'","'c86e87b7-5a19-4206-b307-cf7792fe86f9'"
"'🇵🇱'","'Warsaw'","'Europe'","'+48'","'Poland'","'0aa07a01-0c8e-46b3-92a6-926a365d9136'"
"'🇺🇬'","'Kampala'","'Africa'","'+256'","'Uganda'","'a22f0785-ab37-407e-8217-b2fb81cd9d9a'"
"'🇳🇪'","'Niamey'","'Africa'","'+227'","'Niger'","'4766d374-829a-486d-b1fe-d3d72b48dcb7'"
"'🇸🇹'","'São Tomé'","'Africa'","'+239'","'Sao Tome and Principe'","'1da093b2-a018-45b8-a222-56a01e072a04'"
