name,symbol,id
"'Euro (EUR)'","'€'","'a056ddc8-1cf1-4946-bd9a-2cc3dd0bc1ae'"
"'United States Dollar (USD)'","'$'","'c2c973e5-ac64-4ed9-bb03-f75c093fb133'"
"'Afghan afghani (AFN)'","'؋'","'c9f9f08d-2b58-4530-ae72-7ccd08a10129'"
"'Lek (ALL)'","'L'","'13cc63d5-41ec-4b52-887b-e553bd455693'"
"'Algerian dinar (DZD)'","'دج'","'66d93c53-26ed-4f17-aef5-ad2bab0d5ed8'"
"'Angolan kwanza (AOA)'","'Kz'","'43340fec-754b-41d1-8554-62002d5b415b'"
"'Argentine peso (ARS)'","'$'","'b65e74dc-640b-408b-b829-b9d615cfdbd6'"
"'Armenian dram (AMD)'","'֏'","'594d9cc0-f362-418d-8786-a746da0cb680'"
"'Manat (AZN)'","'₼'","'1ff93a87-a578-48d1-916b-b8594717047e'"
"'Bahraini dinar (BHD)'","'BD'","'4d88cb3f-2386-4969-82e9-00c0ab870bf0'"
"'Bangladeshi Taka (BDT)'","'৳'","'ab19293c-b335-44cf-9a56-b65599beab06'"
"'Barbadian dollar (BBD)'","'Bds$'","'5aac7a28-0ad3-4ace-982d-23ee628e6da9'"
"'BYN'","'Br'","'793f9b55-dc06-4a70-92e2-8a858624e617'"
"'Belize Dollar (BZD)'","'BZ$'","'07352a97-86ca-4162-8237-5b5b3cf6901c'"
"'West African CFA franc (XOF)'","'F.CFA'","'4766d374-829a-486d-b1fe-d3d72b48dcb7'"
"'Boliviano (BOB)'","'$b'","'0bc82241-7eee-48b2-b26e-25962c33b243'"
"'Bosnian mark (BAM)'","'KM'","'e1b3aa5a-0a38-457f-bba2-fe9ad35f7db1'"
"'Pula (BWP)'","'P'","'cf4e1a09-22ac-477a-9ab7-b9dc9d78b71d'"
"'Brazilian real (BRL)'","'R$'","'58d8b88d-44d0-4644-b4a0-a9ec4a3089b7'"
"'Brunei dollar (BND)'","'B$'","'ee43b1bb-607a-48bf-8b31-bfe1ce2fc2c7'"
"'Bulgarian lev (BGN)'","'лв'","'3ce2f1d9-87dc-4290-8537-6d5e8baaf548'"
"'Burmese kyat (MMK)'","'K'","'1e03b38b-2437-4a1c-ab9d-c33f6a5e2699'"
"'Burundian franc (BIF)'","'FBu'","'0ab6c794-7474-4584-ab40-bfc347d2289a'"
"'Cape Verdean escudo (CVE)'","'$'","'3f504902-a50e-4a0d-befc-b72f7b0ba803'"
"'Canadian dollar (CAD)'","'$'","'5d004aac-1d90-49b7-9416-decaff8dce05'"
"'Central African CFA franc (XAF)'","'FCFA'","'5ea1676d-c3cd-4c1b-86d2-b9c4f8586b26'"
"'Cambodian riel (KHR)'","'៛'","'64f8fe9e-3185-4bf6-a28e-3536c9f517d0'"
"'Chilean Peso (CLP)'","'$'","'69110089-fd2d-4d78-b559-92bfd31a86c9'"
"'Jordanian dinar (JOD)'","'د.أ'","'98b30a9b-deba-4f43-9499-0591b1313a2f'"
"'Renminbi (RMB)'","'¥'","'463d173a-ba2a-4994-8b1c-28690a16927b'"
"'Saudi riyal (SAR)'","'﷼'","'e8586278-d779-487c-81a5-2766a5942810'"
"'Colombian peso (COP)'","'$'","'6466e3c7-d100-4cfb-9242-4f3dd2d60725'"
"'Comorian franc (KMF)'","'CF'","'7c3fbfcf-48fa-4062-a275-16569124bf8d'"
"'Costa Rican colón (CRC)'","'₡'","'312d1f83-be21-40aa-9eb6-298cf4f4cbc6'"
"'Cuban peso (CUP)'","'₱'","'6af56146-f0c0-41a2-ac44-429438185187'"
"'Eastern Caribbean Dollar (XCD)'","'EC$'","'5a51f2a3-1c3c-48d8-8515-c684c246faf1'"
"'Dominican peso (DOP)'","'RD$'","'c78a6613-48da-496f-a6da-cbcac60f3383'"
"'East Caribbean Dollar (XCD)'","'EC$'","'f1f9ca15-5d70-44d4-aa31-41e550a8a3eb'"
"'Guatemalan quetzal (GTQ)'","'Q'","'caa15262-bea0-4fa2-86a2-c8ba93e83770'"
"'Lempira (HNL)'","'L'","'432d0dec-aff6-4401-8a6c-6951c099f524'"
"'Bahamian Dollar (BSD)'","'$'","'6c251297-a2cb-456d-884b-8dafbad7aa4c'"
"'Panamanian balboa (PAB)'","'B/.'","'21f3cc44-71a5-4c6f-9efc-087acad23c81'"
"'Cordoba (NIO)'","'C$'","'5c73c1f5-f3da-47ab-8d4b-dfe90fc83f48'"
"'Mexican peso (MXN)'","'$'","'d7cd90cb-b803-4a23-af8d-16dfb5067c3f'"
"'Cayman Islands Dollar (CI$)'","'CI$'","'a306b5aa-4faa-493c-bf09-d53d59357a47'"
"'Haitian gourde (HTG)'","'G'","'c291d08a-b475-462e-90fb-b5a670b626b9'"
"'Trinidad and Tobago Dollar (TTD)'","'TT$'","'36f2a496-612f-4758-80a5-c321ebfcb0aa'"
"'Jamaican Dollar (JMD)'","'J$'","'d86324d3-4f39-4b7a-8413-2974a284a2f1'"
"'The pound sterling (GBP)'","'£'","'a850fbd8-c5cb-4fe5-87e0-3442b153021d'"
"'Hryvnia (UAH)'","'₴'","'5202bd53-9dd5-4af3-9622-efa4add2c5f3'"
"'Kuna (HRK)'","'kn'","'d40ac607-65eb-40e0-8db6-6d925be345cb'"
"'Czech koruna (CZK)'","'Kč'","'06f63ea5-3b40-42a6-abd7-63f9db5663f5'"
"'Danish krone (DKK)'","'kr.'","'2509a883-1679-468f-8d8a-ef28c02567f5'"
"'Hungarian forint (HUF)'","'Ft'","'19b7e1b4-bd61-49bc-a7ce-dc5c4e655521'"
"'ISK'","'kr'","'a79d20ec-bd49-4033-9a9b-e8d169dac971'"
"'Swiss franc (CHF)'","'₣'","'b2a1075d-252a-4cc4-973f-566d85e5b9c8'"
"'Norwegian krone (NOK)'","'kr'","'363faa93-4a17-4501-bb5c-b8e575a46e3f'"
"'Moldovan leu (MDL)'","'L'","'397d354e-4613-4d32-b0ca-c6536188338d'"
